Date,Price,Open,High,Low,Vol.,Change %
30-Dec-16,7142.83,7120.26,7142.83,7087.54,326.49M,0.32%
29-Dec-16,7120.26,7106.08,7120.26,7074.47,395.48M,0.20%
28-Dec-16,7106.08,7068.17,7109.37,7060.85,470.76M,0.54%
23-Dec-16,7068.17,7063.68,7071.11,7054.64,191.92M,0.06%
22-Dec-16,7063.68,7041.42,7063.68,7020.13,483.16M,0.32%
21-Dec-16,7041.42,7043.96,7056.98,7025.68,618.99M,-0.04%
20-Dec-16,7043.96,7017.16,7045.22,6992.62,744.31M,0.38%
19-Dec-16,7017.16,7011.64,7025.74,6986.44,645.42M,0.08%
16-Dec-16,7011.64,6999.01,7038.43,6990.35,1.15B,0.18%
15-Dec-16,6999.01,6949.19,7010.48,6925.88,1.10B,0.72%
14-Dec-16,6949.19,6968.57,6970.52,6941.95,1.00B,-0.28%
13-Dec-16,6968.57,6890.42,6977.99,6877.52,930.15M,1.13%
12-Dec-16,6890.42,6954.21,6976.78,6875.43,946.23M,-0.92%
9-Dec-16,6954.21,6931.55,6962.25,6929.46,827.89M,0.33%
8-Dec-16,6931.55,6902.23,6937.51,6892.17,1.05B,0.42%
7-Dec-16,6902.23,6779.84,6902.23,6779.84,1.16B,1.81%
6-Dec-16,6779.84,6746.83,6785.32,6723.05,871.54M,0.49%
5-Dec-16,6746.83,6730.72,6799.50,6697.65,814.97M,0.24%
2-Dec-16,6730.72,6752.93,6752.93,6678.74,708.45M,-0.33%
1-Dec-16,6752.93,6783.79,6789.30,6688.41,966.72M,-0.45%
30-Nov-16,6783.79,6772.00,6845.74,6765.23,1.33B,0.17%
29-Nov-16,6772.00,6799.47,6800.91,6729.36,772.23M,-0.40%
28-Nov-16,6799.47,6840.75,6840.96,6769.77,709.67M,-0.60%
25-Nov-16,6840.75,6829.20,6852.14,6818.12,477.58M,0.17%
24-Nov-16,6829.20,6817.71,6831.23,6790.69,491.42M,0.17%
23-Nov-16,6817.71,6819.72,6880.74,6779.45,796.85M,-0.03%
22-Nov-16,6819.72,6777.96,6851.37,6777.96,896.75M,0.62%
21-Nov-16,6777.96,6775.77,6820.90,6754.16,781.74M,0.03%
18-Nov-16,6775.77,6794.71,6811.62,6740.34,866.73M,-0.28%
