YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AVE
2005,3,3,3.1,3.5,2.8,2.5,3.2,3.6,4.7,4.3,3.5,3.4,3.4
2006,4,3.6,3.4,3.5,4.2,4.3,4.1,3.8,2.1,1.3,2,2.5,3.2
2007,2.1,2.4,2.8,2.6,2.7,2.7,2.4,2,2.8,3.5,4.3,4.1,2.8
2008,4.3,4,4,3.9,4.2,5,5.6,5.4,4.9,3.7,1.1,0.1,3.8
2009,0,0.2,-0.4,-0.7,-1.3,-1.4,-2.1,-1.5,-1.3,-0.2,1.8,2.7,-0.4
2010,2.6,2.1,2.3,2.2,2,1.1,1.2,1.1,1.1,1.2,1.1,1.5,1.6
2011,1.6,2.1,2.7,3.2,3.6,3.6,3.6,3.8,3.9,3.5,3.4,3,3.2
2012,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2,2.2,1.8,1.7,2.1
2013,1.6,2,1.5,1.1,1.4,1.8,2,1.5,1.2,1,1.2,1.5,1.5
2014,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6
2015,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1
2016,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3
